Algorithm,Dataset,HammingLoss,Desv1,Accuracy,Desv2,Precision,Desv3,Recall,Desv4,FMeasure,Desv5,SubsetAccuracy,Desv6,MacroFMeasure,Desv7,MacroPrecision,Desv8,MacroRecall,Desv9,MicroFMeasure,Desv10,MicroPrecision,Desv11,MicroRecall,Desv12,OneError,Desv13,Coverage,Desv14,RankingLoss,Desv15,AveragePrecision,Desv16
BR-J48,CAL500-5x2x1,0.1632,0.0015,0.2134,0.0095,0.4390,0.0151,0.2968,0.0171,0.3465,0.0126,0.0000,0.0000,0.2947,0.0070,0.2508,0.0161,0.1190,0.0069,0.3485,0.0122,0.4332,0.0168,0.2920,0.0154,0.7093,0.0339,169.1071,1.1301,0.3139,0.0134,0.3472,0.0130
BR-J48,CAL500-5x2x2,0.1627,0.0020,0.2136,0.0063,0.4405,0.0060,0.2961,0.0130,0.3465,0.0090,0.0000,0.0000,0.2920,0.0093,0.2491,0.0213,0.1202,0.0078,0.3492,0.0091,0.4354,0.0078,0.2919,0.0132,0.7311,0.0257,169.3067,0.7647,0.3179,0.0105,0.3438,0.0068
BR-J48,corel5k-5x2x1,0.0098,0.0001,0.0569,0.0025,0.3624,0.0140,0.0618,0.0027,0.4676,0.0109,0.0032,0.0017,0.1761,0.0105,0.3387,0.0468,0.0152,0.0013,0.1068,0.0038,0.3696,0.0183,0.0625,0.0026,0.7110,0.0096,127.4314,1.8519,0.1474,0.0017,0.2448,0.0067
BR-J48,corel5k-5x2x2,0.0098,0.0001,0.0604,0.0015,0.3662,0.0155,0.0663,0.0017,0.4633,0.0047,0.0034,0.0010,0.1787,0.0144,0.3151,0.0403,0.0152,0.0011,0.1125,0.0022,0.3727,0.0197,0.0663,0.0016,0.7024,0.0130,127.6454,1.9764,0.1475,0.0034,0.2452,0.0059
BR-J48,emotions-5x2x1,0.2558,0.0111,0.4343,0.0246,0.6006,0.0269,0.5579,0.0354,0.7099,0.0070,0.1787,0.0278,0.5627,0.0200,0.5893,0.0147,0.5489,0.0248,0.5752,0.0230,0.5953,0.0184,0.5568,0.0298,0.4165,0.0642,2.5718,0.1786,0.3001,0.0374,0.6899,0.0341
BR-J48,emotions-5x2x2,0.2510,0.0231,0.4527,0.0388,0.6070,0.0560,0.5830,0.0401,0.7143,0.0187,0.1991,0.0369,0.5798,0.0181,0.5936,0.0383,0.5793,0.0263,0.5938,0.0317,0.6011,0.0429,0.5891,0.0390,0.4216,0.0746,2.4889,0.1219,0.2891,0.0291,0.6931,0.0335
BR-J48,enron-5x2x1,0.0520,0.0016,0.4037,0.0184,0.6427,0.0057,0.4893,0.0216,0.6090,0.0074,0.1010,0.0185,0.3994,0.0244,0.4483,0.0261,0.1464,0.0107,0.5353,0.0140,0.6213,0.0053,0.4706,0.0202,0.3843,0.0330,23.3937,0.8399,0.1774,0.0115,0.5879,0.0127
BR-J48,enron-5x2x2,0.0525,0.0010,0.3983,0.0234,0.6355,0.0161,0.4863,0.0264,0.6041,0.0102,0.1022,0.0192,0.4064,0.0241,0.4165,0.0362,0.1434,0.0087,0.5314,0.0167,0.6161,0.0135,0.4674,0.0200,0.4001,0.0305,22.4724,0.8673,0.1718,0.0087,0.5890,0.0118
BR-J48,genbase-5x2x1,0.0013,0.0005,0.9839,0.0072,0.9947,0.0049,0.9892,0.0062,0.9903,0.0035,0.9668,0.0140,0.9861,0.0066,0.9724,0.0252,0.9079,0.0299,0.9861,0.0051,0.9894,0.0096,0.9829,0.0076,0.0030,0.0037,0.3836,0.0720,0.0033,0.0030,0.9909,0.0049
BR-J48,genbase-5x2x2,0.0012,0.0007,0.9846,0.0094,0.9947,0.0042,0.9899,0.0075,0.9918,0.0045,0.9698,0.0166,0.9920,0.0076,0.9732,0.0335,0.9221,0.0456,0.9873,0.0076,0.9892,0.0071,0.9855,0.0112,0.0075,0.0082,0.3534,0.0992,0.0028,0.0028,0.9911,0.0058
BR-J48,scene-5x2x1,0.1338,0.0072,0.5395,0.0168,0.6826,0.0203,0.6420,0.0184,0.8715,0.0118,0.4250,0.0216,0.6408,0.0140,0.6456,0.0182,0.6398,0.0186,0.6279,0.0159,0.6256,0.0206,0.6306,0.0181,0.4134,0.0078,1.3319,0.1077,0.2446,0.0207,0.7113,0.0077
BR-J48,scene-5x2x2,0.1388,0.0040,0.5241,0.0146,0.6679,0.0135,0.6169,0.0169,0.8796,0.0083,0.4200,0.0176,0.6220,0.0095,0.6276,0.0093,0.6193,0.0137,0.6101,0.0116,0.6135,0.0121,0.6070,0.0158,0.4292,0.0098,1.3303,0.0798,0.2452,0.0138,0.7019,0.0109
BR-J48,yeast-5x2x1,0.2499,0.0020,0.4322,0.0057,0.6042,0.0015,0.5703,0.0129,0.6123,0.0047,0.0625,0.0069,0.4461,0.0056,0.4376,0.0257,0.3773,0.0062,0.5793,0.0056,0.5905,0.0040,0.5687,0.0117,0.4270,0.0400,9.2981,0.2360,0.3172,0.0089,0.6110,0.0054
BR-J48,yeast-5x2x2,0.2511,0.0060,0.4336,0.0096,0.5999,0.0166,0.5697,0.0145,0.6152,0.0105,0.0741,0.0049,0.4221,0.0095,0.4192,0.0130,0.3749,0.0113,0.5781,0.0107,0.5884,0.0148,0.5684,0.0141,0.4092,0.0330,9.2473,0.1191,0.3140,0.0099,0.6197,0.0085
LP-J48,CAL500-5x2x1,0.2002,0.0034,0.2043,0.0044,0.3357,0.0044,0.3368,0.0126,0.3298,0.0079,0.0000,0.0000,0.2817,0.0090,0.1630,0.0081,0.1678,0.0130,0.3325,0.0079,0.3319,0.0054,0.3334,0.0132,0.9881,0.0115,170.9731,0.4106,0.6572,0.0107,0.1162,0.0038
LP-J48,CAL500-5x2x2,0.2016,0.0018,0.1991,0.0053,0.3295,0.0125,0.3297,0.0057,0.3219,0.0074,0.0000,0.0000,0.2790,0.0080,0.1602,0.0071,0.1584,0.0057,0.3264,0.0067,0.3266,0.0112,0.3263,0.0051,0.9881,0.0074,170.9493,0.4063,0.6584,0.0097,0.1159,0.0031
LP-J48,corel5k-5x2x1,0.0167,0.0001,0.0766,0.0017,0.1126,0.0033,0.1111,0.0031,0.4002,0.0058,0.0146,0.0005,0.1431,0.0151,0.0361,0.0033,0.0331,0.0031,0.1101,0.0031,0.1104,0.0035,0.1098,0.0027,0.9842,0.0016,347.0530,0.6419,0.7475,0.0040,0.0227,0.0013
